Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,30617082118988;0,128817417179986;681,3885;34,80405;13;350,6128;False
2;2,25112128257751;0,495226946313098;545,0385;25,46049;13;349,6274;False
3;4,34469795227051;1,05113072788202;657,6485;27,68469;12;345,7878;False
4;2,81052732467651;0,763412906014905;937,2522;42,30823;13;347,7265;False
5;4,10775089263916;1,28600348357288;931,4823;39,51935;13;346,8672;False
6;5,04732036590576;1,77028262748352;914,7139;37,72546;12;342,7;False
7;6,08607149124146;1,33902631653189;918,3402;36,2356;12;351,7682;False
8;4,05010271072388;1,32812570540619;661,3748;28,05835;12;348,5282;False
9;3,03255987167358;0,7581501628068;935,0737;41,43542;12;351,8157;False
10;2,95921564102173;0,90531525091304;820,1026;36,81372;12;345,64;False
11;6,15115833282471;1,15476736454397;776,032;30,87769;12;344,7016;False
12;3,52051520347595;1,03444155006509;837,9156;36,60938;12;344,3336;False
13;5,23006248474121;1,30544858757339;917,658;37,25513;11;349,5055;False
14;6,7983980178833;1,02789407130331;924,6373;36,08179;11;346,6276;False
15;7,20068216323853;1,67327601776787;676,3214;26,28101;11;342,9122;False
16;5,46818351745605;1,27618724545882;802,466;32,59473;11;344,0109;False
17;3,70951342582703;1,35054300821002;807,0786;34,55078;11;352,4585;False
18;7,13673448562622;1,86495884968383;914,9063;35,56055;11;343,7803;False
19;3,95548820495605;1,53798218808642;924,4758;39,0332;11;354,6701;False
20;6,33776569366455;2,16395217805026;914,6217;35,80762;11;352,5216;False
21;4,9301929473877;1,53517908550809;783,4117;32,0354;12;351,3392;False
22;6,37633037567139;2,50657711237471;917,7427;35,9209;12;351,9839;False
23;6,49497699737549;2,28924535316353;918,4156;35,802;11;352,6714;False
24;4,20249462127686;1,41995515259563;686,6973;28,36255;12;363,2137;False
25;5,89662551879883;2,10274504806879;917,7178;36,39136;11;351,9817;False
26;6,83300113677979;2,50718992176804;930,8185;36,03589;11;351,5778;False
27;7,11025667190552;2,80909364925465;929,713;35,88037;12;349,1303;False
28;7,35778999328613;2,82831365907922;930,2759;35,27148;11;357,6234;False
29;5,04249906539917;1,90723302807694;677,9294;27,48975;11;354,6237;False
30;3,72906923294067;1,64401215912004;930,8343;39,65967;11;355,2076;False
