Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;7,81913075792222E+22;6,38096920752596E+21;34,76857;9,389645;14;311,3205;False
2;4,34751509646419E+24;4,69905590935589E+23;110,4472;21,66753;13;310,6975;False
3;6,30034017026592E+24;4,0396578328842E+23;92,5146;12,78643;13;310,7768;False
4;1,37561074317986E+24;1,50387338205439E+23;64,61883;12,95079;13;368,3842;False
5;5,45038993588071E+23;6,67445680943213E+22;65,91483;15,95038;13;309,5412;False
6;3,16642253135303E+24;3,65514365889053E+23;79,75399;14,75465;13;368,512;False
7;1,67148599771343E+24;3,18887986366863E+23;69,32693;12,79231;12;370,3574;False
8;5,43138957331201E+24;3,58550657962746E+23;80,87068;14,32849;14;389,452;False
9;4,69993380092413E+24;5,21448170242289E+23;84,72015;16,78549;14;389,22;False
10;4,27145225311926E+24;7,33156798091529E+23;78,82574;14,91315;14;389,835;False
11;7,83989274852117E+24;9,79661214174344E+23;95,01173;17,67575;14;390,4233;False
12;3,77691147363454E+24;8,29890443548339E+23;69,57069;11,99655;14;391,9231;False
13;2,57626708918751E+24;5,42410680698134E+23;63,46482;11,56155;14;396,2542;False
14;5,67009793561559E+24;9,47943058685845E+23;79,39924;13,82837;14;396,5652;False
15;7,17777684595448E+24;1,74326135603926E+24;79,28212;12,55811;14;396,0533;False
16;6,44098333523065E+24;1,04290791421016E+24;77,1697;12,30664;14;394,7688;False
17;7,55669429827631E+24;1,05047420393938E+24;109,8199;25,02484;14;394,7674;False
18;5,91066192508084E+24;8,39864727834181E+23;93,13106;18,77808;14;387,8024;False
19;7,97908265592934E+24;1,27752626955272E+24;95,9818;17,90863;14;389,7128;False
20;2,42650027989607E+24;5,79598418972463E+23;81,5179;20,25128;14;390,4968;False
21;9,44861254660229E+24;1,12482384595597E+24;76,7201;10,46295;14;393,6799;False
22;1,32448740783094E+25;1,8707914015983E+24;95,50168;14,64087;14;392,0344;False
23;2,91602930960025E+24;4,53528174461586E+23;66,86893;12,17096;14;391,6447;False
24;3,33200915306993E+24;7,75101287883592E+23;69,11407;12,26886;14;387,8352;False
25;2,99466086205745E+24;6,71198199002604E+23;65,05813;11,21594;14;387,8352;False
26;1,03484228170093E+25;1,12798739613387E+24;86,9234;13,11945;14;391,3737;False
27;5,13249467324269E+24;7,08357097101647E+23;77,83114;13,55786;14;391,4061;False
28;5,43557929005975E+24;9,90919091586099E+23;67,2561;9,5849;14;388,197;False
29;5,10060371150376E+24;7,53225700104558E+23;63,39275;8,651917;14;388,197;False
30;2,92622603561737E+24;4,74986448877913E+23;62,67854;10,44995;14;388,197;False
31;2,97006501113892E+24;4,3943112018335E+23;64,08196;11,06622;14;393,2252;False
32;1,11165106525934E+25;9,63041141867535E+23;87,68538;13,18365;14;396,0177;False
33;4,44458503431419E+24;6,96838108275679E+23;70,69456;10,66498;13;390,8413;False
34;3,98423817727386E+24;5,00084016405359E+23;93,37667;22,50836;14;392,5553;False
35;4,3008701982308E+24;5,53136418049142E+23;70,32835;11,82166;14;396,1261;False
36;4,51905454013975E+24;1,03597986881824E+24;78,01168;13,27051;13;394,9866;False
37;5,00175164523801E+24;7,50263116921503E+23;66,98265;10,00916;14;395,129;False
38;6,23062992441137E+24;4,93467521815389E+23;83,87484;14,95178;14;395,129;False
39;3,24502958422825E+24;5,18313998773006E+23;66,7965;11,76489;14;395,129;False
40;7,62318558729E+24;6,06340350482089E+23;80,98737;12,81152;14;395,129;False
41;1,19785477557449E+25;1,14083255266269E+24;108,0547;20,19434;14;396,9242;False
42;6,76796743837746E+24;6,53841849487082E+23;95,55139;19,32605;14;396,4591;False
43;3,68721590995839E+24;6,84594257911193E+23;80,27805;16,8009;14;396,4769;False
44;5,4575147746064E+24;4,82019420845599E+23;76,73927;13,02185;14;396,2228;False
45;1,88752547327824E+24;4,11526018658486E+23;71,08752;16,80957;14;395,7862;False
46;2,32393306819692E+24;5,01111959574437E+23;56,94179;9,545532;14;397,569;False
47;7,53251407556019E+24;7,89225607337195E+23;87,12077;15,18494;14;397,569;False
48;1,04800772294633E+25;8,31804362054338E+23;100,5381;18,31726;14;399,338;False
49;3,29581001189866E+24;5,04279673084569E+23;84,20387;19,72668;14;399,338;False
50;1,02383487892784E+25;1,27752687792862E+24;113,7479;24,27563;14;399,6915;False
51;1,08118073339839E+25;1,42947368209451E+24;94,52876;15,82532;14;399,338;False
52;3,55080684921932E+25;2,78803379153857E+24;126,0083;18,60779;14;399,5422;False
53;1,18241784838071E+25;1,79640365146564E+24;84,52321;12,06226;14;400,7181;False
54;1,13621555671294E+25;1,06671276008568E+24;96,80593;16,41052;14;400,7181;False
55;3,87377215623145E+24;5,4069818740965E+23;94,30286;21,75037;13;400,148;False
56;3,77632175428494E+24;5,20578205655606E+23;63,99648;10,34949;14;403,2455;False
57;5,24772687178513E+24;9,53415510478702E+23;81,76371;15,44092;14;401,9054;False
58;5,99045908117919E+24;7,7017608508261E+23;80,88725;14,31494;14;401,9054;False
59;5,04228087135021E+24;9,99377746643136E+23;93,35849;20,98181;14;401,2422;False
60;2,01682691705659E+24;3,72683862757447E+23;66,35067;12,96729;13;399,0983;False
61;3,81668178916633E+24;7,38299789036756E+23;74,33101;12,87061;13;397,8242;False
62;1,60089059637372E+24;3,08698748872038E+23;50,74691;8,734741;14;402,9821;False
63;5,53526549503408E+24;9,39793407296396E+23;77,58517;13,38;14;399,2299;False
64;2,64905304138597E+24;4,6539027011229E+23;68,78698;13,8667;14;401,7378;False
65;5,23528454290741E+24;1,07357366068943E+24;66,88979;10,05701;14;403,8992;False
66;8,79640773374996E+24;1,36098417032574E+24;79,44669;11,93213;14;403,8992;False
67;2,05931711853294E+24;4,21130986580752E+23;62,91744;12,54932;14;400,2908;False
68;3,45324686208379E+25;2,71658243225705E+24;109,0245;13,97131;14;403,8992;False
69;1,19423610084798E+25;2,3086715143744E+24;80,10155;10,71582;14;400,8238;False
70;6,31828712286738E+24;1,87854042437134E+24;95,10329;19,92395;14;400,8238;False
71;2,78439835909881E+25;3,62479217572076E+24;113,7834;16,38843;14;399,2329;False
72;8,25781180596159E+24;1,84145064515059E+24;93,64838;17,38843;14;402,3672;False
73;8,21168860470904E+24;9,35881632856298E+23;80,13261;12,39404;14;401,4722;False
74;8,49677265807468E+24;1,44947418657831E+24;93,97131;17,27271;14;401,3725;False
75;5,41855986280875E+24;1,20332158972691E+24;74,47625;12,38916;14;400,4174;False
76;4,61399560843149E+24;8,57655662387739E+23;63,08783;9,256104;14;401,9272;False
77;6,97642429332167E+24;9,08118880633357E+23;83,70968;14,53101;14;401,9272;False
78;4,32581048444884E+24;6,96656939342483E+23;80,01337;15,72778;14;398,2323;False
79;2,99909125116928E+24;6,45818175686137E+23;69,13753;13,28711;14;400,2801;False
80;1,56070592085317E+25;1,71418350392095E+24;89,23971;12,17261;14;400,144;False
81;8,7406593673162E+24;1,81948158090745E+24;83,26798;13,09302;14;400,144;False
82;7,9048206759746E+24;7,05702781608939E+23;78,40631;12,00195;14;401,5115;False
83;5,513472972754E+24;6,12972340547827E+23;81,3342;15;14;402,6125;False
84;5,26058252302225E+24;1,13846144264149E+24;64,17303;9,13916;14;402,1889;False
85;7,3839226697427E+24;1,23425579347697E+24;75,95434;11,5835;14;403,8576;False
86;4,89782845373426E+24;8,74632676863471E+23;78,29829;14,4502;14;402,2755;False
87;2,89756728931661E+25;2,9369816121758E+24;125,5862;20,18677;14;403,1811;False
88;1,06189754477308E+25;1,36279122678414E+24;91,90247;15,09985;14;401,7794;False
89;2,67405327952224E+24;8,55966454223024E+23;67,34011;13,28394;14;404,2838;False
90;6,38391429721336E+24;7,34170426042635E+23;78,78342;13,17114;14;401,4999;False
91;5,56161897478638E+24;6,87940728851669E+23;81,17627;14,88159;14;402,5276;False
92;2,60767843558052E+24;7,81620386519947E+23;62,76685;11,44385;14;402,5636;False
93;1,20728786403303E+25;1,07814821949124E+24;96,3145;15,93701;14;402,5636;False
94;8,36133262786024E+24;9,02344976372454E+23;92,71244;17,07373;14;405,2993;False
95;1,85338645872052E+25;1,87413823552692E+24;123,7668;23,26392;14;402,7486;False
96;2,75943547561929E+24;7,03876413816241E+23;57,11506;9,243896;14;407,2424;False
97;7,007665007332E+24;9,68489963193394E+23;76,99595;12,28955;14;407,2424;False
98;2,17515445675011E+24;5,907369318773E+23;64,01911;13,01831;14;407,1439;False
99;4,64995523016018E+24;9,71391446182729E+23;61,20457;8,873047;14;411,0556;False
100;4,27732004711695E+24;8,31897759499978E+23;67,32527;11,13525;14;407,3516;False
101;5,23082158376308E+24;1,01166719959026E+24;79,96782;14,93579;14;406,6882;False
102;5,45101287378117E+24;8,58429439802965E+23;82,87804;15,76709;14;404,0515;False
103;8,54951535814593E+24;1,18840881489495E+24;93,20538;17,04932;14;403,8536;False
104;3,5899367168553E+24;6,12425219984145E+23;65,16284;10,96704;14;402,9685;False
105;6,90386690781149E+25;5,12291489634875E+24;124,08;14,2229;14;404,7568;False
106;1,29297944661584E+25;2,53488467885153E+24;77,83884;9,89502;14;404,8475;False
107;3,04333161631265E+25;2,78221333496706E+24;123,5007;19,19775;14;404,8733;False
108;1,05890940281744E+25;1,3264616284927E+24;99,3431;18,12842;14;406,0852;False
109;1,98934276718472E+25;2,27436307693263E+24;99,12508;14,02368;14;403,3108;False
110;6,03363772090898E+24;9,02583227782839E+23;90,93925;18,75635;14;407,4823;False
111;2,66448258988212E+24;3,85923890699662E+23;67,83686;13,62769;14;406,974;False
112;1,0390393771463E+25;1,12847531656347E+24;81,2382;11,93945;14;409,73;False
113;6,73494776648552E+24;1,03267059293072E+24;69,45434;10,05054;14;409,1812;False
114;9,85582442202943E+24;1,44036661848373E+24;94,29549;16,8562;14;410,4798;False
115;4,94363229573003E+24;8,51175347973361E+23;78,56525;14,89453;14;411,366;False
116;2,35590358151966E+24;6,75944144698369E+23;64,2029;12,85645;14;411,6248;False
117;4,86252080911642E+24;1,49355645167457E+24;86,30568;18,42969;14;411,1944;False
118;5,04602267809341E+24;9,81330535578681E+23;70,90305;11,78955;14;410,5728;False
119;1,38133935072891E+25;1,40538791217975E+24;82,02209;10,96509;14;410,6449;False
120;3,41575650647344E+24;7,23534134095807E+23;68,17229;12,63477;14;411,1944;False
